ID_T_EQUIP_LOG,SITE,SYS_ID,TRACK_ID,STATUS,RMK,CYCLE_COUNT,ACTION,CYCLE_TIME,REG_DTM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:23:06 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:23:44 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:23:49 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/26/2025 11:24:09 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:24:10 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:24:30 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:24:36 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:25:12 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:25:17 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,1,IN,01:25,3/26/2025 11:25:35 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:25:36 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:25:54 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:25:58 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:26:36 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:26:41 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,2,OUT,01:25,3/26/2025 11:27:01 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:27:02 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:27:21 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:27:28 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:28:03 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:28:09 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,3,IN,01:25,3/26/2025 11:28:27 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:28:28 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:28:46 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:28:51 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:29:27 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:29:33 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,4,OUT,01:25,3/26/2025 11:29:53 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:29:54 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:30:14 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:30:20 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:30:56 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:31:01 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,5,IN,01:25,3/26/2025 11:31:19 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:31:20 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:31:38 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:31:42 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:32:19 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:32:25 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,6,OUT,01:24,3/26/2025 11:32:44 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:32:46 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:33:06 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:33:12 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:33:48 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:33:53 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,7,IN,01:25,3/26/2025 11:34:11 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:34:12 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:34:30 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:34:35 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:35:11 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:35:17 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,8,OUT,01:25,3/26/2025 11:35:37 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:35:38 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:35:58 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:36:04 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:36:40 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:36:45 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,9,IN,01:25,3/26/2025 11:37:03 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:37:04 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:37:22 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:37:26 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:38:04 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:38:09 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,10,OUT,01:25,3/26/2025 11:38:29 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:38:30 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:38:50 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:38:56 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:39:32 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:39:37 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,11,IN,01:25,3/26/2025 11:39:55 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:39:56 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:40:14 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:40:19 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:40:55 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:41:01 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,12,OUT,01:25,3/26/2025 11:41:21 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:41:22 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:41:42 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:41:48 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:42:24 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:42:29 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,13,IN,01:25,3/26/2025 11:42:47 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:42:48 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:43:06 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:43:11 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:43:48 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:43:53 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,14,OUT,01:25,3/26/2025 11:44:13 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:44:14 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:44:34 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:44:40 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:45:16 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:45:21 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,15,IN,01:25,3/26/2025 11:45:39 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:45:40 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:45:58 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:46:03 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 11:46:40 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:46:45 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,16,OUT,01:25,3/26/2025 11:47:05 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:47:06 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:47:26 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 11:47:32 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 11:48:08 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:48:12 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,17,IN,01:25,3/26/2025 11:48:31 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 11:48:32 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 11:48:50 AM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 11:48:55 AM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 11:49:37 AM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/26/2025 11:49:57 AM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:12:31 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:12:59 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:13:19 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:13:25 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:14:00 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:14:05 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,18,IN,01:25,3/26/2025 1:14:24 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:14:25 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:14:43 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:14:47 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:15:24 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:15:30 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,19,OUT,01:25,3/26/2025 1:15:50 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:15:50 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:16:10 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:16:17 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:16:52 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:16:58 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,20,IN,01:25,3/26/2025 1:17:15 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:17:17 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:17:34 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:17:39 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:18:16 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:18:21 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,21,OUT,01:24,3/26/2025 1:18:41 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:18:42 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:19:02 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:19:09 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:19:45 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:19:50 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,22,IN,01:26,3/26/2025 1:20:08 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:20:08 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:20:26 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:20:31 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:21:08 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:21:13 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,23,OUT,01:25,3/26/2025 1:21:33 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:21:34 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:21:55 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:22:01 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:22:36 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:22:42 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,24,IN,01:25,3/26/2025 1:22:59 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:23:00 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:23:18 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:23:23 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:24:00 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:24:06 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:24:26 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/26/2025 1:24:26 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:24:46 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:24:53 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:25:28 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:25:33 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/26/2025 1:25:52 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:25:52 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:26:10 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:26:15 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:26:52 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:26:57 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,25,OUT,01:26,3/26/2025 1:27:18 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:27:18 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:27:38 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:27:45 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:28:21 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:28:25 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:28:44 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/26/2025 1:28:44 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:29:02 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:29:07 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:29:44 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:29:50 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,,,,3/26/2025 1:30:09 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:30:10 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:30:30 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:30:37 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:31:12 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:31:18 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,26,IN,01:26,3/26/2025 1:31:36 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:31:37 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:31:54 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:31:59 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:32:36 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:32:41 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,27,OUT,01:25,3/26/2025 1:33:02 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:33:03 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:33:22 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:33:29 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:34:04 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:34:09 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,28,IN,01:25,3/26/2025 1:34:28 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:34:29 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:34:46 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:34:51 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:35:28 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:35:34 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,29,OUT,01:25,3/26/2025 1:35:54 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:35:55 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:36:14 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:36:21 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:36:56 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:37:01 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,30,IN,01:24,3/26/2025 1:37:19 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:37:21 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:37:39 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:37:43 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:38:21 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:38:26 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,31,OUT,01:24,3/26/2025 1:38:45 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:38:46 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:39:07 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:39:13 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:39:48 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:39:53 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,32,IN,01:25,3/26/2025 1:40:11 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:40:13 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:40:30 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:40:35 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-1,Conveyor,,,,3/26/2025 1:41:12 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:41:17 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,33,OUT,01:24,3/26/2025 1:41:37 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:41:38 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:41:58 PM
System.Byte[],KY1,E0FCA01000,228-101,CarrierDetect-0,Conveyor,,,,3/26/2025 1:42:05 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-1,Conveyor,,,,3/26/2025 1:42:41 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-0,Transfer,,,,3/26/2025 1:42:45 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleIdle,Transfer,34,IN,01:25,3/26/2025 1:43:03 PM
System.Byte[],KY1,E0FCA01000,228-102,ShuttleActive,Transfer,,,,3/26/2025 1:43:04 PM
System.Byte[],KY1,E0FCA01000,228-102,CarrierDetect-1,Transfer,,,,3/26/2025 1:43:23 PM
System.Byte[],KY1,E0FCA01000,228-011,CarrierDetect-0,Conveyor,,,,3/26/2025 1:43:27 PM
